stn,date,SO2,CO,O3,NO2,PM10,PM25
111121,2018070101,0.003,0.5,0.012,0.034,24,12
111121,2018070102,0.002,0.5,0.016,0.026,22,14
111121,2018070103,0.002,0.4,0.021,0.017,23,13
111121,2018070104,0.002,0.4,0.019,0.016,21,13
111121,2018070105,0.002,0.3,0.023,0.013,20,13
111121,2018070106,0.002,0.4,0.02,0.015,19,11
111121,2018070107,0.003,0.3,0.015,0.022,16,10
111121,2018070108,0.002,0.4,0.016,0.026,15,8
111121,2018070109,0.002,0.4,0.017,0.024,16,12
111121,2018070110,0.002,0.4,0.015,0.026,14,8
111121,2018070111,0.002,0.4,0.019,0.023,10,9
111121,2018070112,0.003,0.4,0.022,0.025,8,5
111121,2018070113,0.002,0.4,0.025,0.026,7,4
111121,2018070114,0.002,0.4,0.017,0.031,7,5
111121,2018070115,0.003,0.4,0.008,0.037,9,5
111121,2018070116,0.002,0.4,0.007,0.031,10,6
111121,2018070117,0.002,0.4,0.006,0.029,8,5
111121,2018070118,0.002,0.4,0.006,0.027,8,4
111121,2018070119,0.002,0.4,0.007,0.025,8,5
111121,2018070120,0.002,0.4,0.007,0.024,6,4
111121,2018070121,0.002,0.4,0.004,0.028,8,6
111121,2018070122,0.002,0.4,0.006,0.028,7,5
111121,2018070123,0.003,0.3,0.01,0.024,6,6
111121,2018070124,0.002,0.3,0.016,0.022,5,2
111121,2018070201,0.002,0.3,0.023,0.019,4,2
111121,2018070202,0.002,0.3,0.024,0.016,4,2
111121,2018070203,0.002,0.3,0.035,0.009,5,2
111121,2018070204,0.002,0.3,0.047,0.009,3,2
111121,2018070205,0.002,0.3,0.046,0.011,3,2
111121,2018070206,0.002,0.3,0.032,0.025,3,2
111121,2018070207,0.002,0.4,0.025,0.036,5,2
111121,2018070208,0.002,0.4,0.023,0.04,6,4
111121,2018070209,0.003,0.5,0.013,0.051,9,5
111121,2018070210,0.002,0.7,0.009,0.059,11,6
111121,2018070211,0.002,0.7,0.01,0.056,12,6
111121,2018070212,0.003,0.7,0.012,0.052,10,7
111121,2018070213,0.003,0.8,0.008,0.055,16,10
111121,2018070214,0.003,0.8,0.007,0.058,20,14
111121,2018070215,0.003,0.8,0.007,0.057,25,13
111121,2018070216,0.003,0.8,0.008,0.057,25,16
111121,2018070217,0.003,0.7,0.007,0.055,32,17
111121,2018070218,0.003,0.6,0.006,0.048,28,17
111121,2018070219,0.002,0.4,0.007,0.028,11,8
111121,2018070220,0.002,0.4,0.004,0.026,11,8
111121,2018070221,0.003,0.5,0.002,0.028,6,4
111121,2018070222,0.003,0.6,0.002,0.03,10,6
111121,2018070223,0.003,0.6,0.002,0.031,11,7
111121,2018070224,0.003,0.5,0.002,0.028,10,6
111121,2018070301,0.003,0.6,0.002,0.028,13,8
111121,2018070302,0.003,0.5,0.002,0.028,12,7
111121,2018070303,0.002,0.4,0.002,0.023,9,4
111121,2018070304,0.003,0.4,0.004,0.019,9,6
111121,2018070305,0.003,0.3,0.005,0.018,9,7
111121,2018070306,0.003,0.4,0.003,0.021,11,7
111121,2018070307,0.003,0.4,0.004,0.021,13,6
111121,2018070308,0.003,0.4,0.006,0.021,15,8
111121,2018070309,0.003,0.4,0.007,0.021,19,11
111121,2018070310,0.003,0.5,0.011,0.021,18,10
111121,2018070311,0.003,0.6,0.014,0.026,16,8
111121,2018070312,0.003,0.4,0.025,0.025,19,12
111121,2018070313,0.003,0.4,0.033,0.026,17,10
111121,2018070314,0.003,0.4,0.029,0.031,18,12
111121,2018070315,0.003,0.4,0.026,0.021,13,8
111121,2018070316,0.003,0.3,0.023,0.022,9,5
111121,2018070317,0.002,0.3,0.021,0.021,9,7
111121,2018070318,0.002,0.4,0.02,0.021,9,5
111121,2018070319,0.003,0.3,0.011,0.023,12,4
111121,2018070320,0.003,0.4,0.009,0.029,17,12
