SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.003000 0.600000 0.026000 0.014000 58.000000 25.000000 2.100000 -999.000000 1.300000 180.000000 45.000000 6.000000 
0.002000 0.500000 0.024000 0.014000 54.000000 21.000000 1.800000 -999.000000 1.900000 180.000000 42.000000 -999.000000 
0.002000 0.500000 0.023000 0.015000 50.000000 19.000000 1.500000 -999.000000 2.800000 200.000000 45.000000 -999.000000 
0.003000 0.600000 0.023000 0.014000 50.000000 23.000000 1.500000 -999.000000 2.400000 340.000000 48.000000 6.000000 
0.003000 0.500000 0.022000 0.015000 48.000000 19.000000 1.400000 -999.000000 2.900000 250.000000 51.000000 4.000000 
0.003000 0.600000 0.021000 0.017000 46.000000 19.000000 1.300000 -999.000000 2.700000 180.000000 50.000000 8.000000 
0.003000 0.500000 0.021000 0.018000 41.000000 20.000000 1.500000 -999.000000 2.300000 50.000000 50.000000 7.000000 
0.002000 0.600000 0.009000 0.032000 34.000000 16.000000 1.500000 -999.000000 2.900000 70.000000 54.000000 8.000000 
0.002000 0.600000 0.004000 0.037000 36.000000 17.000000 1.500000 -999.000000 2.100000 90.000000 50.000000 8.000000 
0.003000 0.600000 0.012000 0.029000 45.000000 22.000000 2.000000 -999.000000 3.100000 50.000000 48.000000 8.000000 
0.003000 0.500000 0.024000 0.016000 45.000000 24.000000 2.500000 -999.000000 3.800000 320.000000 49.000000 9.000000 
0.003000 0.500000 0.029000 0.011000 37.000000 17.000000 2.000000 -999.000000 3.900000 340.000000 50.000000 9.000000 
0.003000 0.500000 0.031000 0.010000 30.000000 16.000000 2.000000 0.000000 3.600000 20.000000 50.000000 9.000000 
0.002000 0.500000 0.032000 0.011000 35.000000 14.000000 2.900000 -999.000000 1.900000 140.000000 49.000000 9.000000 
0.003000 0.500000 0.033000 0.011000 36.000000 12.000000 2.100000 -999.000000 3.800000 70.000000 53.000000 9.000000 
0.003000 0.500000 0.032000 0.012000 35.000000 16.000000 2.100000 0.000000 2.200000 70.000000 49.000000 9.000000 
0.003000 0.600000 0.032000 0.014000 35.000000 18.000000 1.400000 -999.000000 2.900000 290.000000 49.000000 8.000000 
0.003000 0.700000 0.027000 0.020000 44.000000 21.000000 1.000000 -999.000000 4.200000 290.000000 49.000000 7.000000 
0.003000 0.700000 0.022000 0.025000 54.000000 29.000000 1.100000 -999.000000 2.300000 270.000000 51.000000 8.000000 
0.003000 0.800000 0.016000 0.032000 52.000000 26.000000 1.300000 -999.000000 2.200000 140.000000 52.000000 -999.000000 
0.003000 0.800000 0.007000 0.043000 50.000000 29.000000 1.300000 -999.000000 2.100000 50.000000 52.000000 -999.000000 
0.003000 0.700000 0.010000 0.039000 59.000000 27.000000 1.500000 -999.000000 1.800000 230.000000 47.000000 9.000000 
0.002000 0.800000 0.007000 0.041000 56.000000 26.000000 2.000000 -999.000000 1.800000 160.000000 39.000000 -999.000000 
0.002000 0.900000 0.002000 0.045000 48.000000 26.000000 1.900000 -999.000000 2.400000 110.000000 46.000000 -999.000000 
0.002000 1.000000 0.002000 0.047000 57.000000 35.000000 2.000000 -999.000000 2.300000 320.000000 41.000000 8.000000 
0.002000 1.000000 0.002000 0.043000 52.000000 37.000000 1.800000 -999.000000 2.000000 200.000000 42.000000 -999.000000 
0.003000 1.100000 0.002000 0.041000 53.000000 36.000000 1.400000 -999.000000 2.000000 230.000000 44.000000 -999.000000 
0.003000 1.200000 0.002000 0.039000 49.000000 31.000000 1.200000 -999.000000 1.500000 230.000000 46.000000 6.000000 
0.002000 1.000000 0.002000 0.034000 48.000000 28.000000 1.500000 -999.000000 2.200000 200.000000 45.000000 9.000000 
0.002000 0.800000 0.002000 0.032000 48.000000 34.000000 1.700000 -999.000000 2.700000 230.000000 45.000000 7.000000 
0.002000 0.800000 0.002000 0.033000 47.000000 33.000000 1.400000 -999.000000 1.700000 250.000000 47.000000 3.000000 
