SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.003000 0.500000 0.012000 0.028000 56.000000 -999.000000 0.300000 -999.000000 0.800000 70.000000 83.000000 0.000000 
0.003000 0.500000 0.013000 0.025000 59.000000 -999.000000 0.200000 -999.000000 1.200000 230.000000 87.000000 -999.000000 
0.003000 0.500000 0.011000 0.027000 55.000000 -999.000000 0.000000 -999.000000 1.800000 250.000000 93.000000 -999.000000 
0.003000 0.500000 0.011000 0.025000 57.000000 -999.000000 -0.300000 -999.000000 2.100000 200.000000 95.000000 0.000000 
0.003000 0.500000 0.012000 0.025000 51.000000 -999.000000 -0.300000 -999.000000 1.800000 160.000000 98.000000 0.000000 
0.003000 0.500000 0.014000 0.022000 53.000000 -999.000000 -0.200000 -999.000000 1.100000 140.000000 93.000000 8.000000 
0.003000 0.500000 0.014000 0.023000 49.000000 -999.000000 0.000000 -999.000000 0.000000 0.000000 94.000000 7.000000 
0.003000 0.500000 0.014000 0.025000 48.000000 -999.000000 0.100000 -999.000000 1.500000 180.000000 97.000000 7.000000 
0.004000 0.500000 0.015000 0.022000 47.000000 -999.000000 -0.100000 -999.000000 2.500000 160.000000 96.000000 9.000000 
0.004000 0.500000 0.022000 0.019000 43.000000 -999.000000 0.700000 -999.000000 1.600000 160.000000 92.000000 7.000000 
0.004000 0.500000 0.026000 0.015000 43.000000 -999.000000 1.300000 -999.000000 1.400000 180.000000 90.000000 9.000000 
0.004000 0.500000 0.029000 0.014000 34.000000 -999.000000 2.600000 -999.000000 2.400000 160.000000 85.000000 9.000000 
0.003000 0.400000 0.034000 0.011000 25.000000 -999.000000 3.600000 -999.000000 2.100000 180.000000 78.000000 9.000000 
0.003000 0.400000 0.036000 0.010000 19.000000 -999.000000 5.500000 -999.000000 2.900000 180.000000 70.000000 8.000000 
0.013000 0.400000 0.033000 0.018000 14.000000 -999.000000 5.100000 -999.000000 2.100000 230.000000 70.000000 9.000000 
0.022000 0.500000 0.027000 0.028000 31.000000 -999.000000 5.500000 -999.000000 3.100000 200.000000 68.000000 9.000000 
0.014000 0.500000 0.021000 0.028000 37.000000 -999.000000 5.100000 -999.000000 2.500000 230.000000 74.000000 9.000000 
0.015000 0.500000 0.005000 0.050000 36.000000 -999.000000 5.000000 -999.000000 2.300000 200.000000 78.000000 9.000000 
0.004000 0.600000 0.014000 0.037000 39.000000 -999.000000 5.200000 -999.000000 2.500000 270.000000 77.000000 9.000000 
0.004000 0.500000 0.009000 0.040000 33.000000 -999.000000 5.300000 -999.000000 3.100000 230.000000 78.000000 -999.000000 
0.003000 0.500000 0.009000 0.041000 31.000000 -999.000000 5.600000 -999.000000 3.700000 230.000000 77.000000 -999.000000 
0.004000 0.600000 0.003000 0.045000 39.000000 -999.000000 5.400000 -999.000000 3.900000 180.000000 82.000000 9.000000 
0.004000 0.700000 0.004000 0.047000 38.000000 -999.000000 5.100000 -999.000000 4.400000 180.000000 83.000000 -999.000000 
0.004000 0.700000 0.006000 0.038000 41.000000 -999.000000 5.100000 -999.000000 3.800000 180.000000 84.000000 -999.000000 
0.004000 0.700000 0.004000 0.039000 44.000000 -999.000000 4.800000 -999.000000 4.000000 180.000000 85.000000 9.000000 
0.003000 0.700000 0.005000 0.033000 42.000000 -999.000000 4.800000 -999.000000 3.700000 180.000000 87.000000 -999.000000 
0.004000 0.700000 0.005000 0.033000 44.000000 -999.000000 4.800000 -999.000000 3.600000 180.000000 89.000000 -999.000000 
0.004000 0.600000 0.022000 0.017000 44.000000 -999.000000 5.000000 -999.000000 4.000000 180.000000 90.000000 6.000000 
0.004000 0.600000 0.016000 0.020000 46.000000 -999.000000 5.000000 -999.000000 2.900000 180.000000 91.000000 7.000000 
0.004000 0.600000 0.014000 0.022000 41.000000 -999.000000 4.900000 -999.000000 4.100000 180.000000 92.000000 7.000000 
0.003000 0.600000 0.012000 0.024000 38.000000 -999.000000 4.500000 -999.000000 3.800000 180.000000 94.000000 7.000000 
0.004000 0.600000 0.006000 0.032000 46.000000 -999.000000 4.200000 -999.000000 4.400000 180.000000 97.000000 3.000000 
0.003000 0.600000 0.013000 0.025000 51.000000 -999.000000 4.000000 -999.000000 3.600000 180.000000 98.000000 2.000000 
0.004000 0.600000 0.013000 0.025000 43.000000 -999.000000 4.400000 -999.000000 3.200000 160.000000 98.000000 3.000000 
0.004000 0.600000 0.019000 0.022000 44.000000 -999.000000 6.000000 -999.000000 3.000000 160.000000 91.000000 4.000000 
0.003000 0.600000 0.023000 0.021000 45.000000 -999.000000 8.300000 -999.000000 2.700000 160.000000 82.000000 3.000000 
0.004000 0.600000 0.017000 0.030000 39.000000 -999.000000 9.300000 -999.000000 3.400000 180.000000 82.000000 4.000000 
0.004000 0.600000 0.014000 0.036000 45.000000 -999.000000 9.900000 -999.000000 4.000000 230.000000 84.000000 5.000000 
