9.3,,-44.3,-78.3,85,26
9.8,,,,85,32
10,31510,-41.7,-76.7,75,26
10.3,,,,65,23
10.6,,,,90,16
11,,,,105,22
11.6,,,,85,23
11.7,,-39.9,-75.9,,
12.3,,,,90,33
13.1,,,,80,28
13.9,,,,95,30
14.3,,,,80,31
16.1,,,,95,34
16.5,,-48.1,-81.1,,
17,,,,80,28
17.6,,,,95,30
20,26860,-49.3,-82.3,110,34
21.9,,,,115,30
24.5,,-50.1,-83.1,95,42
26.1,,,,85,35
29.1,,-54.5,-85.5,,
30,24230,-53.1,-85.1,90,22
31.9,,,,95,27
33.3,,-53.3,-85.3,,
33.9,,,,55,23
34.6,,,,85,17
35.1,,,,115,21
36,,,,80,25
37.9,,-57.3,-87.3,,
40.1,,,,90,24
45.5,,,,75,26
48.7,,,,90,26
50,20990,-60.3,-89.3,80,26
52.1,,,,70,22
57.5,,,,80,30
64.2,,,,80,25
66.3,,,,105,25
68.2,,,,65,27
70,18910,-65.3,-93.3,75,24
71.3,,,,80,26
74.7,,,,60,24
82.5,,,,50,15
84.9,,-67.9,-94.9,,
86,,,,75,19
89.1,,,,55,27
100,16750,-66.5,-94.5,30,13
103,,,,90,3
105,,-66.9,-93.9,35,10
114,,,,70,10
122,,,,30,15
123,,-65.3,-93.3,25,13
126,,,,10,10
130,,,,60,1
131,,,,110,1
132,,,,125,1
150,14280,-61.9,-90.9,275,9
154,,,,285,10
159,,,,270,17
176,,-59.7,-73.7,,
186,,,,270,37
200,12470,-52.9,-63.9,235,47
205,,,,255,41
230,,,,280,28
236,,,,270,25
240,,,,240,23
245,,,,285,23
250,10990,-40.9,-52.9,275,19
253,,,,240,17
255,,,,250,13
258,,,,290,11
261,,,,310,10
273,,,,95,1
276,,,,170,10
277,,-34.9,-44.9,170,13
279,,,,160,10
281,,,,80,4
288,,,,50,10
300,9730,-30.7,-52.7,80,15
301,,-30.7,-53.7,85,15
310,,,,80,15
329,,,,100,25
340,,-23.1,-48.1,,
352,,,,85,24
362,,,,95,29
400,7610,-14.3,-40.3,95,22
419,,-11.1,-36.1,,
429,,,,95,18
457,,,,80,14
469,,-6.5,-12.5,,
470,,,,90,8
474,,,,75,10
477,,-5.3,-18.3,,
497,,,,65,13
500,5880,-2.7,-15.7,70,12
510,,,,85,12
547,,1.6,-9.4,,
585,,,,105,12
600,,,,95,12
617,,3.8,-1.2,,
625,,,,85,11
668,,,,85,13
695,,,,100,12
700,3155,8.4,5.1,100,12
717,,,,85,11
757,,11.6,7.9,,
800,,,,95,7
849,,18.4,12.4,,
850,1519,18.4,12.4,100,8
869,,18.6,17.4,,
880,,,,115,5
900,,,,165,13
905,,,,170,19
925,786,23.8,16.8,155,11
1000,96,29.8,18.8,30,3
1003,,32,21,100,4
